title,desc,access,publisher,contact,email,bureauCode
International Energy Data: Liquefied Petroleum Gases Application Programming Interface (API),"This API provides international data on liquefied petroleum gases production, consumption, imports, and exports. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Marketed Natural Gas Application Programming Interface (API),This API provides international data on marketed natural gas production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Metallurgical Coal Application Programming Interface (API),This API provides international data on metallurgical coal production and reserves. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Metallurgical Coke Application Programming Interface (API),This API provides international data on metallurgical coke production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Motor Gasoline Application Programming Interface (API),"This API provides international data on motor gasoline production, consumption, imports, and exports. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: NGPL Application Programming Interface (API),This API provides international data on natural gas plant liquids (NGPL) production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Non-Hydroelectric Renewables Application Programming Interface (API),This API provides international data on non-hydroelectric renewables. Data on electricity capacity and generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Nuclear Application Programming Interface (API),This API provides international data on nuclear electricity capacity and generation. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Other Liquids Application Programming Interface (API),This API provides international data on other liquids production. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Other Products Application Programming Interface (API),"This API provides international data on other petroleum products production, consumption, imports, and exports. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: per Capita Application Programming Interface (API),This API provides international data on energy consumption per capita and carbon dioxide emissions per capita. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm,restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Petroleum Application Programming Interface (API),"This API provides international data on petroleum consumption, stocks, and carbon dioxide emissions. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Primary Energy Application Programming Interface (API),"This API provides international data on primary energy production, consumption, and carbon dioxide emissions. Also data on population. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
International Energy Data: Refined Petroleum Products Application Programming Interface (API),"This API provides international data on the production, imports, exports, and bunkering of refined petroleum products. Data organized by country. Users of the EIA API are required to obtain an API Key via this registration form: http://www.eia.gov/beta/api/register.cfm",restricted public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
